<doc id="2218136" title="Vedad Ibi¨evi?" nonfiltered="1" processed="1" dbindex="480001">
Vedad vedar VMM02P0 0
Partido_Justicialista partido_justicialista NP00000 0
. . Fp 0

Se se P0000000 0
recibió recibir VMIS3S0 01513366
de de SPS00 0
abogado abogado NCMS000 07366159
en en SPS00 0
la el DA0FS0 0
Facultad_de_Derecho facultad_de_derecho NP00000 0
y y CC 0
Ciencias_Sociales_de_la_Universidad_de_Buenos_Aires ciencias_sociales_de_la_universidad_de_buenos_aires NP00000 0
el el DA0MS0 0
2_de_mayo_de_1983 [??:2/5/1983:??.??:??] W 0
. . Fp 0

Desde desde SPS00 0
esa ese DD0FS0 0
fecha fecha NCFS000 10880047
trabajó trabajar VMIS3S0 01643531
como como CS 0
abogado abogado NCMS000 07366159
particular particular AQ0CS0 01054295
. . Fp 0

Es ser VSIP3S0 01775973
casado casar VMP00SM 00883027
y y CC 0
tiene tener VMIP3S0 01508689
un uno DI0MS0 0
hijo hijo NCMS000 07592357
. . Fp 0

Desde desde SPS00 0
muy muy RG 0
joven joven AQ0CS0 01587804
militó militar VMIS3S0 00742204
en en SPS00 0
el el DA0MS0 0
Partido_Justicialista partido_justicialista NP00000 0
; ; Fx 0
se se P0000000 0
unió unir VMIS3S0 00166362
a a SPS00 0
el el DA0MS0 0
Frente_Renovador frente_renovador NP00000 0
de de SPS00 0
el el DA0MS0 0
mismo mismo AQ0MS0 01990350
, , Fc 0
tras tras SPS00 0
la el DA0FS0 0
derrota derrota NCFS000 05558471
electoral electoral AQ0CS0 02560387
de de SPS00 0
1983 1983 Z 0
, , Fc 0
ejerciendo ejercer VMG0000 01822108
como como CS 0
Secretario_de_la_Juventud_Peronista_de_la_Provincia_de_Buenos_Aires secretario_de_la_juventud_peronista_de_la_provincia_de_buenos_aires NP00000 0
, , Fc 0
presidente presidente NCMS000 07495220
de de SPS00 0
el el DA0MS0 0
Partido_Justicialista partido_justicialista NP00000 0
de de SPS00 0
el el DA0MS0 0
partido partido NCMS000 06131180
de de SPS00 0
Lincoln lincoln NP00000 0
, , Fc 0
y y CC 0
congresal congresal NCFS000 0
provincial provincial AQ0CS0 02597243
y y CC 0
nacional nacional AQ0CS0 02750618
de de SPS00 0
ese ese DD0MS0 0
partido partido NCMS000 06131180
. . Fp 0

Fue ser VSIS3S0 01775973
, , Fc 0
además además RG 0
, , Fc 0
asesor asesor NCMS000 07065373
legal legal AQ0CS0 01344765
de de SPS00 0
el el DA0MS0 0
partido partido NCMS000 06131180
de de SPS00 0
Florencio_Varela florencio_varela NP00000 0
y y CC 0
concejal concejal NCMS000 07171285
en en SPS00 0
su su DP3CS0 0
ciudad ciudad NCFS000 06287351
natal natal AQ0CS0 01058295
, , Fc 0
Lincoln lincoln NP00000 0
. . Fp 0

En en SPS00 0
1989 1989 Z 0
cofundó cofundó VMIS3S0 0
y y CC 0
presidió presidir VMIS3S0 01654488
la el DA0FS0 0
Fundación_de_Estudios_Parlamentarios fundación_de_estudios_parlamentarios NP00000 0
, , Fc 0
y y CC 0
fue ser VSIS3S0 01775973
electo electo AQ0MS0 01241992
Diputado_Nacional diputado_nacional NP00000 0
. . Fp 0

Fue ser VSIS3S0 01775973
vicepresidente vicepresidente NCMS000 07664782
de de SPS00 0
la el DA0FS0 0
Comisión_de_Legislación_Penal_de_la_Cámara_de_Diputados comisión_de_legislación_penal_de_la_cámara_de_diputados NP00000 0
. . Fp 0

Oponiendo oponer VMG0000 01081422
se se PP3CN000 0
a a SPS00 0
el el DA0MS0 0
giro giro NCMS000 00224643
a a SPS00 0
el el DA0MS0 0
liberalismo liberalismo NCMS000 04712107
, , Fc 0
la el DA0FS0 0
corrupción corrupción NCFS000 03803876
y y CC 0
el el DA0MS0 0
indulto indulto NCMS000 04919295
a a SPS00 0
los el DA0MP0 0
comandantes comandante NCCP000 07168973
de de SPS00 0
el el DA0MS0 0
Proceso_de_Reorganización_Nacional proceso_de_reorganización_nacional NP00000 0
, , Fc 0
a_principios_de a_principios_de SPS00 0
1990 1990 Z 0
formó_parte formar_parte VMIS3S0 0
de de SPS00 0
el el DA0MS0 0
Grupo grupo NP00000 00017954
de de SPS00 0
los el DA0MP0 0
Ocho 8 Z 0
, , Fc 0
bancada bancada NCFS000 03501507
parlamentaria parlamentario AQ0FS0 02590962
separada separar VMP00SF 01681144
de de SPS00 0
el el DA0MS0 0
oficialismo oficialismo NCMS000 0
. . Fp 0

Se se P0000000 0
especializó especializar VMIS3S0 00305536
en en SPS00 0
denunciar denunciar VMN0000 00653371
las el DA0FP0 0
evidentes evidente AQ0CP0 00545700
muestras muestra NCFP000 00335147
de de SPS00 0
corrupción corrupción NCFS000 03803876
en en SPS00 0
el el DA0MS0 0
gobierno gobierno NCMS000 06000383
menemista menemista AQ0CS0 0
. . Fp 0

Acción_por_la_República acción_por_la_república NP00000 0
. . Fp 0

En en SPS00 0
los el DA0MP0 0
años año NCMP000 10917509
posteriores posterior AQ0CP0 00125346
a a SPS00 0
la el DA0FS0 0
finalización finalización NCFS000 00137299
de de SPS00 0
su su DP3CS0 0
primer 1 AO0MS0 02098880
mandato mandato NCMS000 10966076
como como CS 0
diputado diputado NCMS000 07211532
, , Fc 0
ejerció ejercer VMIS3S0 01822108
cargos cargo NCMP000 00385376
partidarios partidario AQ0MP0 00944158
en en SPS00 0
Lincoln lincoln NP00000 0
, , Fc 0
y y CC 0
se se P0000000 0
dedicó dedicar VMIS3S0 00601722
a a SPS00 0
la el DA0FS0 0
actividad actividad NCFS000 00261466
docente docente AQ0CS0 0
y y CC 0
la el DA0FS0 0
especialización especialización NCFS000 09743392
en en SPS00 0
Ciencias_Políticas ciencias_políticas NP00000 04673837
, , Fc 0
mediación mediación NCFS000 05349429
social social AQ0CS0 02603799
, , Fc 0
lucha lucha NCFS000 00758807
contra contra SPS00 0
la el DA0FS0 0
corrupción corrupción NCFS000 03803876
y y CC 0
asesoramiento asesoramiento NCMS000 05002688
a a SPS00 0
víctimas víctima NCFP000 07665319
de de SPS00 0
delitos delito NCMP000 00490590
. . Fp 0

Se se P0000000 0
unió unir VMIS3S0 00166362
a a SPS00 0
las el DA0FP0 0
denuncias denuncia NCFP000 05400506
de de SPS00 0
el el DA0MS0 0
ex ex AQ0CN0 0
ministro ministro NCMS000 07412658
de de SPS00 0
economía economía NCFS000 06193947
, , Fc 0
Domingo [G:??/??/??:??.??:??] W 0
Cavallo cavallo NP00000 0
, , Fc 0
contra contra SPS00 0
el el DA0MS0 0
excesivo excesivo AQ0MS0 01470633
poder poder NCMS000 04041746
y y CC 0
las el DA0FP0 0
actividades actividad NCFP000 00261466
corruptas corrupto AQ0FP0 00585544
de de SPS00 0
el el DA0MS0 0
empresario empresario NCMS000 07131641
Alfredo_Yabrán alfredo_yabrán NP00000 0
, , Fc 0
con con SPS00 0
lo el DA0NS0 0
que que PR0CN000 0
se se P0000000 0
acercó acercar VMIS3S0 0
a a SPS00 0
el el DA0MS0 0
grupo grupo NCMS000 00017954
dirigido dirigir VMP00SM 00781920
por por SPS00 0
aquél aquel PD0MS000 0
. . Fp 0

Desde desde SPS00 0
1996 1996 Z 0
en en SPS00 0
adelante adelante RG 0
se se P0000000 0
afilió afiliar VMIS3S0 0
a a SPS00 0
el el DA0MS0 0
partido partido NCMS000 06131180
de de SPS00 0
Cavallo cavallo NP00000 0
, , Fc 0
Acción_por_la_República acción_por_la_república NP00000 0
, , Fc 0
de de SPS00 0
el el DA0MS0 0
cual cual PR0CS000 0
fue ser VSIS3S0 01775973
secretario secretario NCMS000 07556911
general general AQ0CS0 01050726
para para SPS00 0
la el DA0FS0 0
provincia provincia NCFS000 09535912
de de SPS00 0
Buenos_Aires buenos_aires NP00000 0
. . Fp 0

Desde desde SPS00 0
2005 2005 Z 0
en en SPS00 0
adelante adelante RG 0
, , Fc 0
volvió volver VMIS3S0 01367732
a a SPS00 0
ser ser VSN0000 01775973
diputado diputado NCMS000 07211532
nacional nacional AQ0CS0 02750618
, , Fc 0
por por SPS00 0
el el DA0MS0 0
partido partido NCMS000 06131180
Acción_por_la_República acción_por_la_república NP00000 0
. . Fp 0

Publicaciones publicaciones NP00000 0
. . Fp 0

Ha haber VAIP3S0 01775163
sido ser VSP00SM 01775973
autor autor NCMS000 07689380
o o CC 0
coautor coautor NCMS000 07163563
de de SPS00 0
los el DA0MP0 0
siguientes siguiente AQ0CP0 00129529
libros libro NCMP000 04831824
: : Fd 0
El el DA0MS0 0
Grupo grupo NP00000 00017954
de de SPS00 0
los el DA0MP0 0
Ocho 8 Z 0
contra contra SPS00 0
la el DA0FS0 0
Corrupción corrupción NP00000 03803876
, , Fc 0
Editorial_Legasa editorial_legasa NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1991 1991 Z 0
. . Fp 0

Actualización actualización NCFS000 04983380
legislativa legislativo AQ0FS0 0
sobre sobre SPS00 0
la el DA0FS0 0
Ley_Penal_Tributaria ley_penal_tributaria NP00000 0
y y CC 0
Previsional previsional NP00000 0
, , Fc 0
Editorial_Congreso_de_la_Nación editorial_congreso_de_la_nación NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1991 1991 Z 0
. . Fp 0

Tiempos_de_Utopía tiempos_de_utopía NP00000 0
, , Fc 0
Editorial_Marcha editorial_marcha NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1996 1996 Z 0
. . Fp 0

Corrupción corrupción NCFS000 03803876
: : Fd 0
Una uno DI0FS0 0
Patología patología NP00000 10129713
con con SPS00 0
Poder poder NP00000 04041746
, , Fc 0
Editorial_Ediar editorial_ediar NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1997 1997 Z 0
. . Fp 0

Municipio municipio NP00000 06355858
, , Fc 0
Participación participación NP00000 00804778
y y CC 0
Desarrollo desarrollo NP00000 09724860
, , Fc 0
Editorial_Acme editorial_acme NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1998 1998 Z 0
. . Fp 0

La el DA0FS0 0
Larga_Sombra_de_Yabrán larga_sombra_de_yabrán NP00000 0
. . Fp 0

Editorial_Sudamericana editorial_sudamericana NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1998 1998 Z 0
. . Fp 0

Justicia justicia NP00000 00736721
, , Fc 0
la el DA0FS0 0
Corte_Suprema corte_suprema NP00000 06181061
y y CC 0
la el DA0FS0 0
Reelección reelección NP00000 00118483
, , Fc 0
Editorial_Acme editorial_acme NP00000 0
, , Fc 0
Bs bs NP00000 0
. . Fp 0

As as NP00000 02160943
. . Fp 0
, , Fc 0
1999 1999 Z 0
. . Fp 0

Ha haber VAIP3S0 01775163
editado editar VMP00SM 0
, , Fc 0
además además RG 0
, , Fc 0
los el DA0MP0 0
siguientes siguiente AQ0CP0 00129529
trabajos trabajo NCMP000 00377835
de de SPS00 0
investigación investigación NCFS000 00416938
: : Fd 0
Cómo cómo PT000000 0
interpretar interpretar VMN0000 00422121
una uno DI0FS0 0
constitución constitución NCFS000 00154800
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1991 1991 Z 0
. . Fp 0

El el DA0MS0 0
lado lado NCMS000 04505726
oscuro oscuro AQ0MS0 00268709
de de SPS00 0
los el DA0MP0 0
Partidos_Políticos partidos_políticos NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1991 1991 Z 0
. . Fp 0

Sobre sobre SPS00 0
la el DA0FS0 0
Ley_de_el_Valor ley_de_el_valor NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1992 1992 Z 0
. . Fp 0

Transición_Cívico_Militar transición_cívico_militar NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1992 1992 Z 0
. . Fp 0

Los el DA0MP0 0
significados significado NCMP000 04951584
de de SPS00 0
la el DA0FS0 0
descentralización descentralización NCFS000 00803947
de de SPS00 0
el el DA0MS0 0
Estado estado NP00000 00016185
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1992 1992 Z 0
. . Fp 0

Las el DA0FP0 0
Políticas_Sociales políticas_sociales NP00000 0
en en SPS00 0
la el DA0FS0 0
Argentina argentina NP00000 02035234
dentro_de dentro_de SPS00 0
el el DA0MS0 0
Modelo_Neoconservador modelo_neoconservador NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1992 1992 Z 0
. . Fp 0

Interacción interacción NP00000 00022878
entre entre SPS00 0
las el DA0FP0 0
Instituciones instituciones NP00000 0
y y CC 0
los el DA0MP0 0
Procesos_de_Decisiones procesos_de_decisiones NP00000 0
en en SPS00 0
los el DA0MP0 0
Poderes_Locales_de_Gobierno poderes_locales_de_gobierno NP00000 0
y y CC 0
sus su DP3CP0 0
relaciones relación NCFP000 00018916
con con SPS00 0
las el DA0FP0 0
Organizaciones organizaciones NP00000 0
no no RN 0
Gubernamentales gubernamentales NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1993 1993 Z 0
. . Fp 0

Buenos_Aires buenos_aires NP00000 0
: : Fd 0
Provincia_Urbana provincia_urbana NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1993 1993 Z 0
. . Fp 0

Desarrollo_de_la_Investigación_Científica desarrollo_de_la_investigación_científica NP00000 0
, , Fc 0
FLACSO flacso NP00000 0
, , Fc 0
1995 1995 Z 0
. . Fp 0

a a SPS00 0
el el DA0MS0 0
Kassar kassar NP00000 0
y y CC 0
el el DA0MS0 0
Tráfico_de_Armas tráfico_de_armas NP00000 00721691
, , Fc 0
1998 1998 Z 0
. . Fp 0

AMIA amia NP00000 02128657
y y CC 0
la el DA0FS0 0
Pista_Siria pista_siria NP00000 0
, , Fc 0
1998 1998 Z 0
. . Fp 0

La el DA0FS0 0
Corrupción corrupción NP00000 03803876
en en SPS00 0
las el DA0FP0 0
Fuerzas_Policiales fuerzas_policiales NP00000 06093563
, , Fc 0
1998 1998 Z 0
. . Fp 0

Seguridad seguridad NP00000 10425881
en en SPS00 0
la el DA0FS0 0
Provincia_de_Buenos_Aires provincia_de_buenos_aires NP00000 0
, , Fc 0
1999 1999 Z 0
. . Fp 0

Corrupción corrupción NCFS000 03803876
: : Fd 0
una uno DI0FS0 0
Patología patología NP00000 10129713
con con SPS00 0
Poder poder NP00000 04041746
, , Fc 0
1999 1999 Z 0
. . Fp 0

Los el DA0MP0 0
Jueces_Federales jueces_federales NP00000 0
y y CC 0
la el DA0FS0 0
Justicia justicia NP00000 03708375
, , Fc 0
1999 1999 Z 0
. . Fp 0

Enlaces enlace NCMP000 10061309
externos externo AQ0MP0 00900427
. . Fp 0

, , Fc 0
página página NCFS000 04731849
de de SPS00 0
InfoRed infored NP00000 0
. . Fp 0

Com com NP00000 0
. . Fp 0

ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218166" title="Licurgo (rey)" nonfiltered="7" processed="7" dbindex="480007">
Licurgo licurgo NP00000 0
( ( Fpa 0
griego griego NCMS000 07020791
antiguo antiguo AQ0MS0 01665065
, , Fc 0
latín latín NCMS000 05221640
Lycurgus lycurgus NP00000 0
) ) Fpt 0
fue ser VSIS3S0 01775973
un uno DI0MS0 0
espartano espartano NCMS000 07022272
que que CS 0
a_pesar_de a_pesar_de SPS00 0
no no RN 0
ser ser VSN0000 01775973
de de SPS00 0
sangre sangre NCFS000 04197156
real real AQ0CS0 02598692
fue ser VSIS3S0 01775973
elegido elegir VMP00SM 01635578
rey rey NCMS000 07354565
de de SPS00 0
Esparta esparta NP00000 0
hacia hacia SPS00 0
junto_con junto_con SPS00 0
Agesípolis_III agesípolis_iii NP00000 0
, , Fc 0
tras tras SPS00 0
la el DA0FS0 0
muerte muerte NCFS000 05479076
de de SPS00 0
Cleómenes_III cleómenes_iii NP00000 0
, , Fc 0
y y CC 0
parece parecer VMIP3S0 01460069
que que CS 0
para para SPS00 0
ello él PP3NS000 0
sobornó sobornar VMIS3S0 01560925
a a SPS00 0
los el DA0MP0 0
éforos éforo NCMP000 0
. . Fp 0

Hacia hacia SPS00 0
depuso deponer VMIS3S0 01638892
a a SPS00 0
su su DP3CS0 0
colega colega NCCS000 07165420
y y CC 0
se se P0000000 0
erigió erigir VMIS3S0 01140839
en en SPS00 0
único único AQ0MS0 02112131
monarca monarca NCCS000 07354565
, , Fc 0
aunque aunque CC 0
bajo bajo SPS00 0
el el DA0MS0 0
control control NCMS000 04045365
de de SPS00 0
los el DA0MP0 0
éforos éforo NCMP000 0
. . Fp 0

Apoyaba apoyar VMII1S0 01742587
a a SPS00 0
una uno DI0FS0 0
facción facción NCFS000 06125829
cercana cercano AQ0FS0 00420393
a a SPS00 0
la el DA0FS0 0
Liga_Etolia liga_etolia NP00000 0
, , Fc 0
y y CC 0
escuchó escuchar VMIS3S0 01485853
a a SPS00 0
Macates macates NP00000 0
, , Fc 0
enviado enviar VMP00SM 01328739
por por SPS00 0
dicha decir VMP00SF 00682542
liga liga NCFS000 06110607
para para SPS00 0
emprender emprender VMN0000 01134102
la el DA0FS0 0
guerra guerra NCFS000 00626011
contra contra SPS00 0
Filipo_V_de_Macedonia filipo_v_de_macedonia NP00000 0
y y CC 0
la el DA0FS0 0
Liga_Aquea liga_aquea NP00000 0
. . Fp 0

El el DA0MS0 0
ejército ejército NCMS000 09920569
espartano espartano AQ0MS0 01248007
invadió invadir VMIS3S0 00764618
Argólida argólida NP00000 0
, , Fc 0
ocupó ocupar VMIS3S0 00764618
varias varios DI0FP0 0
ciudades ciudad NCFP000 06287351
y y CC 0
puso poner VMIS3S0 01026409
asedio asedio NCMS000 00695744
a a SPS00 0
la el DA0FS0 0
fortaleza fortaleza NCFS000 03431121
llamada llamar VMP00SF 00696267
Ateneum ateneum NP00000 0
en en SPS00 0
el el DA0MS0 0
territorio territorio NCMS000 06307482
de de SPS00 0
Belbina belbina NP00000 0
, , Fc 0
que que CS 0
la el DA0FS0 0
ciudad ciudad NCFS000 06287351
aquea aqueo AQ0FS0 0
de de SPS00 0
Megalópolis megalópolis NP00000 06293560
reclamaba reclamar VMII1S0 00512630
como como CS 0
propia propio AQ0FS0 01054295
. . Fp 0

Se se P0000000 0
solicitó solicitar VMIS3S0 00532796
ayuda ayuda NCFS000 00782440
a a SPS00 0
el el DA0MS0 0
aqueo aqueo NCMS000 0
Arato_de_Sición arato_de_sición NP00000 0
, , Fc 0
pero pero CC 0
debido_a debido_a SPS00 0
su su DP3CS0 0
demora demora NCFS000 00689955
los el DA0MP0 0
espartanos espartano NCMP000 07022272
consiguieron conseguir VMIS3P0 01721088
ocupar ocupar VMN0000 00764618
la el DA0FS0 0
fortificación fortificación NCFS000 00617245
( ( Fpa 0
) ) Fpt 0
El el NP00000 0
mismo mismo AQ0MS0 01990350
año año NCMS000 10917509
, , Fc 0
Quilón quilón NP00000 0
encabezó encabezar VMIS3S0 01364337
un uno DI0MS0 0
conspiración conspiración NCFS000 04540636
contra contra SPS00 0
él él PP3MS000 0
, , Fc 0
de de SPS00 0
la el DA0FS0 0
que que PR0CN000 0
escapó escapar VMIS3S0 01420490
por por SPS00 0
poco poco PI0MS000 0
con con SPS00 0
vida vida NCFS000 10060845
y y CC 0
se se P0000000 0
refugió refugiar VMIS3S0 0
temporalmente temporalmente RG 0
en en SPS00 0
Pelene pelene NP00000 0
, , Fc 0
en en SPS00 0
la el DA0FS0 0
frontera frontera NCFS000 06279444
occidental occidental AQ0CS0 00785860
de de SPS00 0
Laconia laconia NP00000 0
. . Fp 0

En en SPS00 0
hizo hacer VMIS3S0 01608899
una uno DI0FS0 0
incursión incursión NCFS000 00627831
en en SPS00 0
Mesenia mesenia NP00000 0
, , Fc 0
mientras_que mientras_que CS 0
el el DA0MS0 0
etolio etolio NCMS000 0
Dorímaco dorímaco NP00000 0
invadía invadir VMII1S0 00764618
Tesalia tesalia NP00000 0
con con SPS00 0
el el DA0MS0 0
objetivo objetivo NCMS000 04586952
de de SPS00 0
apartar apartar VMN0000 01637882
a a SPS00 0
Filipo filipo NP00000 0
de de SPS00 0
el el DA0MS0 0
asedio asedio NCMS000 00695744
de de SPS00 0
Palus palus NP00000 0
, , Fc 0
pero pero CC 0
el el DA0MS0 0
invadió invadir VMIS3S0 00764618
Etolia etolia NP00000 0
, , Fc 0
y y CC 0
envió enviar VMIS3S0 01328739
a a SPS00 0
el el DA0MS0 0
general general AQ0CS0 01050726
Eperato eperato NP00000 0
a a SPS00 0
Mesenia mesenia NP00000 0
. . Fp 0

Licurgo licurgo NP00000 0
no no RN 0
tuvo tener VMIS3S0 01508689
éxito éxito NCMS000 05454715
y y CC 0
fracasó fracasar VMIS3S0 01723893
en en SPS00 0
un uno DI0MS0 0
ataque ataque NCMS000 00625655
a a SPS00 0
Tegea tegea NP00000 0
y y CC 0
en en SPS00 0
el el DA0MS0 0
intento intento NCMS000 00503611
de de SPS00 0
detener detener VMN0000 00321868
a a SPS00 0
Filipo filipo NP00000 0
en en SPS00 0
los el DA0MP0 0
pasos paso NCMP000 00107819
de de SPS00 0
Menalión menalión NP00000 0
cuando cuando CS 0
regresaba regresar VMII1S0 01367732
de de SPS00 0
una uno DI0FS0 0
breve breve AQ0CS0 01384633
invasión invasión NCFS000 00472484
de de SPS00 0
Laconia laconia NP00000 0
. . Fp 0

Un uno DI0MS0 0
poco poco PI0MS000 0
después después RG 0
fue ser VSIS3S0 01775973
acusado acusar VMP00SM 00571723
falsamente falsamente RG 0
ante ante SPS00 0
los el DA0MP0 0
éforos éforo NCMP000 0
de de SPS00 0
propósitos propósito NCMP000 04588033
revolucionarios revolucionario AQ0MP0 01583589
y y CC 0
tuvo tener VMIS3S0 01508689
que que CS 0
huir huir VMN0000 00551826
a a SPS00 0
Etolia etolia NP00000 0
. . Fp 0

En en SPS00 0
, , Fc 0
los el DA0MP0 0
éforos éforo NCMP000 0
descubrieron descubrir VMIS3P0 01474694
la el DA0FS0 0
falsedad falsedad NCFS000 10058657
de de SPS00 0
la el DA0FS0 0
acusación acusación NCFS000 05401516
y y CC 0
le le PP3CSD00 0
llamaron llamar VMIS3P0 00696267
para para SPS00 0
que que CS 0
regresara regresar VMSI1S0 01367732
, , Fc 0
Entonces entonces NP00000 10988137
, , Fc 0
realizó realizar VMIS3S0 01111638
otro otro DI0MS0 0
ataque ataque NCMS000 00625655
a a SPS00 0
Mesenia mesenia NP00000 0
, , Fc 0
donde donde PR000000 0
se se P0000000 0
unió unir VMIS3S0 00166362
a a SPS00 0
el el DA0MS0 0
general general AQ0CS0 01050726
etolio etolio NCMS000 0
Pirrias pirrias NP00000 0
, , Fc 0
el el DA0MS0 0
cual cual PR0CS000 0
fue ser VSIS3S0 01775973
rechazado rechazar VMP00SM 01531148
cuando cuando CS 0
intentaba intentar VMII1S0 01725008
cruzar cruzar VMN0000 01304824
la el DA0FS0 0
frontera frontera NCFS000 06279444
y y CC 0
Licurgo licurgo NP00000 0
tuvo tener VMIS3S0 01508689
que que CS 0
volver volver VMN0000 01367732
a a SPS00 0
Esparta esparta NP00000 0
. . Fp 0

Murió morir VMIS3S0 00250254
en en SPS00 0
y y CC 0
Macánidas macánidas NP00000 0
asumió asumir VMIS3S0 01622769
la el DA0FS0 0
tiranía tiranía NCFS000 06243405
. . Fp 0

Dejó dejar VMIS3S0 00091645
un uno DI0MS0 0
hijo hijo NCMS000 07592357
llamado llamar VMP00SM 00696267
Pélope pélope NP00000 0
, , Fc 0
que que PR0CN000 0
fue ser VSIS3S0 01775973
ejecutado ejecutar VMP00SM 01692292
por por SPS00 0
orden orden NCFS000 05359821
de de SPS00 0
Nabis nabis NP00000 0
en en SPS00 0
ENDOFARTICLE endofarticle NP00000 0
. . Fp 0

</doc>
<doc id="2218172" title="Jackson Melián" nonfiltered="8" processed="8" dbindex="480008">
Jackson_Melián_González jackson_melián_gonzález NP00000 0
es ser VSIP3S0 01775973
un uno DI0MS0 0
beisbolista beisbolista NCCS000 0
venezolano venezolano AQ0MS0 02733660
nacido nacer VMP00SM 00249716
el el DA0MS0 0
7_de_enero_de_1980 [??:7/1/1980:??.??:??] W 0
en en SPS00 0
Caracas caracas NP00000 0
aunque aunque CC 0
toda todo DI0FS0 0
su su DP3CS0 0
infancia infancia NCFS000 10869613
transcurrió transcurrir VMIS3S0 01418612
en en SPS00 0
Barcelona barcelona NP00000 0
, , Fc 0
Estado_Anzoátegui estado_anzoátegui NP00000 0
. . Fp 0

Juega jugar VMM02S0 00727813
en en SPS00 0
posición posición NCFS000 10048803
de de SPS00 0
jardinero jardinero NCMS000 07285294
en en SPS00 0
los el DA0MP0 0
Leones_de_el_Caracas leones_de_el_caracas NP00000 0
. . Fp 0

Con con SPS00 0
17 17 Z 0
años año NCMP000 10917509
de de SPS00 0
edad edad NCFS000 10875146
fue ser VSIS3S0 01775973
firmando firmar VMG0000 00602606
en en SPS00 0
1996 1996 Z 0
por por SPS00 0
los el DA0MP0 0
New_York_Yankees new_york_yankees NP00000 0
con con SPS00 0
un uno DI0MS0 0
bono bono NCMS000 09665083
de de SPS00 0
1.600.000_dólares $_USD:1600000 Zm 0
, , Fc 0
estableciendo establecer VMG0000 00430666
un uno DI0MS0 0
récord récord NCMS000 00036443
para para SPS00 0
un uno DI0MS0 0
venezolano venezolano NCMS000 07049078
en en SPS00 0
Grandes_Ligas grandes_ligas NP00000 0
en en SPS00 0
ese ese DD0MS0 0
momento momento NCMS000 10850147
. . Fp 0

En en SPS00 0
2000 2000 Z 0
firmó firmar VMIS3S0 00602606
con con SPS00 0
Cincinnati_Reds cincinnati_reds NP00000 0
. . Fp 0

Melián melián NP00000 0
inició iniciar VMIS3S0 00239960
su su DP3CS0 0
carrera carrera NCFS000 05544480
en en SPS00 0
la el DA0FS0 0
Liga_Venezolana_de_Béisbol_Profesional liga_venezolana_de_béisbol_profesional NP00000 0
en en SPS00 0
Caribes_de_Oriente caribes_de_oriente NP00000 0
, , Fc 0
aunque aunque CC 0
también también RG 0
jugó jugar VMIS3S0 00727813
para para SPS00 0
Pastora_de_los_Llanos pastora_de_los_llanos NP00000 0
en_calidad_de en_calidad_de SPS00 0
préstamo préstamo NCMS000 09651550
. . Fp 0

En en SPS00 0
2002 2002 Z 0
Caribes caribes NP00000 0
llega llegar VMIP3S0 01368651
a a SPS00 0
un uno DI0MS0 0
acuerdo acuerdo NCMS000 05072418
con con SPS00 0
los el DA0MP0 0
Leones_de_el_Caracas leones_de_el_caracas NP00000 0
donde donde PR000000 0
Melián melián NP00000 0
participó participar VMIS3S0 01669634
hasta hasta SPS00 0
que que CS 0
en en SPS00 0
la el DA0FS0 0
2004-2005 2004-2005 Z 0
pasa pasar VMIP3S0 00235191
a a SPS00 0
los el DA0MP0 0
Tiburones_de_La_Guaira tiburones_de_la_guaira NP00000 0
, , Fc 0
a a SPS00 0
la el DA0FS0 0
siguiente siguiente AQ0CS0 00129529
temporada temporada NCFS000 10947841
pasa pasar VMIP3S0 00235191
a a SPS00 0
Águilas_de_el_Zulia águilas_de_el_zulia NP00000 0
. . Fp 0

En en SPS00 0
la el DA0FS0 0
temporada temporada NCFS000 10947841
2006-2007 2006-2007 Z 0
pasa pasar VMIP3S0 00235191
a a SPS00 0
los el DA0MP0 0
Cardenales_de_Lara cardenales_de_lara NP00000 0
en en SPS00 0
cambio cambio NCMS000 05441797
por por SPS00 0
